ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
3639,"Nhà, ngõ, hẻm",,16.0,4.0,,,,3.0,,,,,5100000000.0
3640,"Biệt thự, nhà liền kề",,14.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,990000000.0
3641,"Nhà, ngõ, hẻm",,5.0,4.0,Nam,,Giấy tờ hợp lệ,1.0,,,,,400000000.0
3642,"Nhà, ngõ, hẻm",,10.0,4.6,,,Số đỏ/ Sổ hồng,4.0,,,,,9700000000.0
3643,"Đất thổ cư, đất ở",,21.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,820000000.0
3644,"Biệt thự, nhà liền kề",,16.6,5.0,Bắc,,,2.0,,,,,2250000000.0
3645,"Nhà, ngõ, hẻm",,8.5,3.5,,,Giấy tờ hợp lệ,2.0,,,,,940000000.0
3646,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,,,Số đỏ/ Sổ hồng,10.0,,,,,14000000000.0
3647,"Đất thổ cư, đất ở",,10.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,3100000000.0
3648,"Nhà mặt phố, nhà mặt tiền",,15.0,3.5,,,Số đỏ/ Sổ hồng,5.0,,,,,12500000000.0
3649,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3900000000.0
3650,"Đất thổ cư, đất ở",,18.0,4.5,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,2400000000.0
3651,"Đất thổ cư, đất ở",,25.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1800000000.0
3652,"Đất thổ cư, đất ở",,29.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,650000000.0
3653,"Đất thổ cư, đất ở",,25.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,559000000.0
3654,"Đất nông, công, lâm nghiệp",,89.0,11.5,,,Số đỏ/ Sổ hồng,,,,,,650000000.0
3655,"Nhà, ngõ, hẻm",,9.0,5.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1200000000.0
3656,"Nhà, ngõ, hẻm",,14.0,4.0,Tây Nam,,Số đỏ/ Sổ hồng,2.0,,,,,6500000000.0
3657,"Đất thổ cư, đất ở",,20.0,7.2,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,5100000000.0
3658,"Nhà mặt phố, nhà mặt tiền",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,5900000000.0
3659,"Đất nền, đất liền kề, đất dự án",,21.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1260000000.0
3660,"Nhà, ngõ, hẻm",,23.0,4.0,Nam,,Giấy tờ hợp lệ,2.0,,,,,1050000000.0
3661,"Nhà, ngõ, hẻm",,10.0,4.0,,,,2.0,,,,,4000000000.0
3662,"Đất thổ cư, đất ở",,16.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,1800000000.0
3663,"Đất thổ cư, đất ở",,13.5,4.0,,,Số đỏ/ Sổ hồng,,,,,,6100000000.0
3664,"Đất thổ cư, đất ở",,50.0,18.0,,,Số đỏ/ Sổ hồng,,,,,,11000000000.0
3665,"Nhà mặt phố, nhà mặt tiền",,20.0,8.0,,,Số đỏ/ Sổ hồng,6.0,,,,,36000000000.0
3666,"Biệt thự, nhà liền kề",,15.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,3000000000.0
3667,"Đất thổ cư, đất ở",,27.0,7.0,,,Số đỏ/ Sổ hồng,,,,,,1950000000.0
3668,"Đất thổ cư, đất ở",,25.0,5.0,Tây,,Số đỏ/ Sổ hồng,,,,,,3600000000.0
3669,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,490000000.0
3670,"Đất thổ cư, đất ở",,30.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,470000000.0
3671,"Biệt thự, nhà liền kề",,15.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,1350000000.0
3672,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,,,Số đỏ/ Sổ hồng,6.0,,,,,21500000000.0
3673,"Nhà mặt phố, nhà mặt tiền",,24.0,4.5,Tây Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,5800000000.0
3674,"Đất thổ cư, đất ở",,49.0,12.0,,,Số đỏ/ Sổ hồng,,,,,,3400000000.0
3675,"Nhà, ngõ, hẻm",,17.0,4.0,Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,5500000000.0
3676,"Nhà mặt phố, nhà mặt tiền",,19.0,4.3,,,Số đỏ/ Sổ hồng,10.0,,,,,17000000000.0
3677,"Đất thổ cư, đất ở",,38.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,4300000000.0
3678,"Nhà mặt phố, nhà mặt tiền",,16.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,850000000.0
3679,"Đất thổ cư, đất ở",,23.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,340000000.0
3680,"Nhà mặt phố, nhà mặt tiền",,14.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,6500000000.0
3681,"Đất thổ cư, đất ở",,20.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2600000000.0
3682,"Nhà, ngõ, hẻm",,12.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,5900000000.0
3683,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,Đông,,Số đỏ/ Sổ hồng,5.0,,,,,5350000000.0
3684,"Nhà mặt phố, nhà mặt tiền",,6.0,18.0,,,Số đỏ/ Sổ hồng,3.0,,,,,10500000000.0
3685,"Đất thổ cư, đất ở",,40.0,20.0,Nam,,Số đỏ/ Sổ hồng,,,,,,1420000000.0
3686,"Đất thổ cư, đất ở",,25.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,380000000.0
3687,"Nhà mặt phố, nhà mặt tiền",,16.5,3.5,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1980000000.0
3688,"Nhà, ngõ, hẻm",,11.0,5.0,,,,3.0,,,,,4330000000.0
3689,"Nhà, ngõ, hẻm",,22.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3100000000.0
3690,"Đất thổ cư, đất ở",,19.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,3400000000.0
3691,"Biệt thự, nhà liền kề",,18.0,4.16,,,,3.0,,,,,2850000000.0
3692,"Đất thổ cư, đất ở",,30.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,5200000000.0
3693,"Đất thổ cư, đất ở",,15.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,2350000000.0
3694,"Đất thổ cư, đất ở",,24.0,4.2,,,Số đỏ/ Sổ hồng,,,,,,980000000.0
3695,"Nhà, ngõ, hẻm",,21.0,4.6,,,Số đỏ/ Sổ hồng,4.0,,,,,5850000000.0
3696,"Nhà, ngõ, hẻm",,11.0,4.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,3980000000.0
3697,"Nhà, ngõ, hẻm",,16.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,11300000000.0
3698,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,2050000000.0
3699,"Đất thổ cư, đất ở",,32.0,15.0,,,Số đỏ/ Sổ hồng,,,,,,6700000000.0
3700,"Nhà, ngõ, hẻm",,14.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1765000000.0
3701,"Nhà, ngõ, hẻm",,21.0,3.5,,,Số đỏ/ Sổ hồng,7.0,,,,,11600000000.0
3702,"Nhà, ngõ, hẻm",,19.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,6900000000.0
3703,"Nhà mặt phố, nhà mặt tiền",,8.0,4.0,,,,2.0,,,,,3600000000.0
3704,"Nhà mặt phố, nhà mặt tiền",,24.0,4.2,,,Số đỏ/ Sổ hồng,1.0,,,,,12900000000.0
3705,"Nhà mặt phố, nhà mặt tiền",,8.5,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2600000000.0
3706,"Nhà mặt phố, nhà mặt tiền",,7.0,3.5,,,Số đỏ/ Sổ hồng,3.0,,,,,3300000000.0
3707,"Đất thổ cư, đất ở",,19.0,5.0,Nam,,Số đỏ/ Sổ hồng,,,,,,8100000000.0
3708,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3780000000.0
3709,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,500000000.0
3710,"Đất thổ cư, đất ở",,16.0,6.0,Đông,,Số đỏ/ Sổ hồng,,,,,,550000000.0
3711,"Nhà, ngõ, hẻm",,35.0,17.0,,,Số đỏ/ Sổ hồng,10.0,,,,,25000000000.0
3712,"Đất thổ cư, đất ở",,20.0,4.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,2800000000.0
3713,"Đất thổ cư, đất ở",,17.3,6.0,Nam,,Số đỏ/ Sổ hồng,,,,,,450000000.0
3714,"Nhà mặt phố, nhà mặt tiền",,29.0,4.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,13700000000.0
3715,"Nhà mặt phố, nhà mặt tiền",,10.5,4.5,,,,3.0,,,,,2280000000.0
3716,"Nhà mặt phố, nhà mặt tiền",,18.0,5.0,Tây Bắc,,,4.0,,,,,3800000000.0
3717,"Nhà mặt phố, nhà mặt tiền",,27.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,5600000000.0
3718,"Đất thổ cư, đất ở",,20.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1750000000.0
3719,"Đất thổ cư, đất ở",,14.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,4480000000.0
3720,"Đất thổ cư, đất ở",,16.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1550000000.0
3721,"Nhà, ngõ, hẻm",,14.0,4.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,2200000000.0
3722,"Đất nông, công, lâm nghiệp",,20.0,5.0,,,,,,,,,119000000.0
3723,"Đất thổ cư, đất ở",,100.0,11.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,81050000000.0
3724,"Đất thổ cư, đất ở",,22.0,7.0,,,Số đỏ/ Sổ hồng,,,,,,380000000.0
3725,"Nhà mặt phố, nhà mặt tiền",,17.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,3500000000.0
3726,"Đất thổ cư, đất ở",,25.0,15.2,,,Số đỏ/ Sổ hồng,,,,,,22040000000.0
3727,"Nhà mặt phố, nhà mặt tiền",,50.0,38.0,,,Số đỏ/ Sổ hồng,2.0,,,,,10500000000.0
3728,"Nhà, ngõ, hẻm",,13.0,3.0,,,,2.0,,,,,2400000000.0
3729,"Nhà, ngõ, hẻm",,8.0,3.5,,,Số đỏ/ Sổ hồng,2.0,,,,,2650000000.0
3730,"Nhà, ngõ, hẻm",,22.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,6500000000.0
3731,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,4500000000.0
3732,"Nhà, ngõ, hẻm",,35.0,35.0,,,Số đỏ/ Sổ hồng,4.0,,,,,6000000000.0
3733,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,498000000.0
3734,"Nhà, ngõ, hẻm",,9.0,3.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2350000000.0
3735,"Đất nền, đất liền kề, đất dự án",,20.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1700000000.0
3736,"Đất nông, công, lâm nghiệp",,250.0,50.0,,,Số đỏ/ Sổ hồng,,,,,,10000000000.0
3737,"Biệt thự, nhà liền kề",,20.0,7.0,,,Số đỏ/ Sổ hồng,3.0,,,,,3500000000.0
3738,"Nhà, ngõ, hẻm",,9.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1530000000.0
3739,"Đất nông, công, lâm nghiệp",,28.0,8.44,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,590000000.0
3740,"Nhà mặt phố, nhà mặt tiền",,20.0,4.0,,,Số đỏ/ Sổ hồng,6.0,,,,,3750000000.0
3741,"Nhà mặt phố, nhà mặt tiền",,18.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,8500000000.0
3742,"Nhà mặt phố, nhà mặt tiền",,15.0,5.0,Nam,,Số đỏ/ Sổ hồng,3.0,,,,,2210000.0
3743,"Nhà, ngõ, hẻm",,17.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,6700000000.0
3744,"Nhà, ngõ, hẻm",,10.0,3.85,Đông,,Số đỏ/ Sổ hồng,2.0,,,,,2950000000.0
3745,"Đất thổ cư, đất ở",,25.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,8300000000.0
3746,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,850000000.0
3747,"Nhà, ngõ, hẻm",,14.0,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1450000000.0
3748,"Đất thổ cư, đất ở",,14.0,5.7,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,3800000000.0
3749,"Nhà, ngõ, hẻm",,17.0,4.0,Nam,,Số đỏ/ Sổ hồng,3.0,,,,,3450000000.0
3750,"Đất thổ cư, đất ở",,16.5,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,1320000000.0
3751,"Nhà mặt phố, nhà mặt tiền",,14.0,4.0,Đông,,Giấy tờ hợp lệ,2.0,,,,,2850000000.0
3752,"Nhà, ngõ, hẻm",,15.0,7.0,,,,3.0,,,,,6600000000.0
3753,"Nhà mặt phố, nhà mặt tiền",,16.0,4.2,Tây,,Số đỏ/ Sổ hồng,4.0,,,,,5200000000.0
3754,"Nhà, ngõ, hẻm",,10.5,4.05,Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,3980000000.0
3755,"Đất thổ cư, đất ở",,65.0,77.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,7200000000.0
3756,"Biệt thự, nhà liền kề",,14.0,5.0,Tây,,Số đỏ/ Sổ hồng,2.0,,,,,1620000000.0
3757,"Nhà, ngõ, hẻm",,13.0,3.3,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,3140000000.0
3758,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1200000000.0
3759,"Nhà mặt phố, nhà mặt tiền",,15.5,4.5,,,,4.0,,,,,2200000000.0
3760,"Đất thổ cư, đất ở",,22.0,6.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,500000000.0
3761,"Nhà mặt phố, nhà mặt tiền",,16.0,5.0,,,Số đỏ/ Sổ hồng,2.0,,,,,8500000000.0
3762,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,550000000.0
3763,"Nhà, ngõ, hẻm",,12.0,5.0,Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,6100000000.0
3764,"Nhà mặt phố, nhà mặt tiền",,14.0,7.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1350000000.0
3765,"Đất nông, công, lâm nghiệp",,21.0,7.0,Tây Bắc,,Giấy tờ hợp lệ,,,,,,930000000.0
3766,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,950000000.0
3767,"Đất nền, đất liền kề, đất dự án",,20.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,1686000000.0
3768,"Đất thổ cư, đất ở",,21.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,569000000.0
3769,"Đất nền, đất liền kề, đất dự án",,25.0,16.0,Đông,,Số đỏ/ Sổ hồng,,,,,,5950000000.0
3770,"Nhà, ngõ, hẻm",,9.5,4.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1570000000.0
3771,"Đất thổ cư, đất ở",,100.0,10.0,,,,,,,,,1800000000.0
3772,"Đất thổ cư, đất ở",,46.0,40.0,,,Số đỏ/ Sổ hồng,,,,,,460000000.0
3773,"Đất thổ cư, đất ở",,32.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,3950000000.0
3774,"Đất thổ cư, đất ở",,10.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,3300000000.0
3775,"Đất thổ cư, đất ở",,5.0,6.8,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,4200000000.0
3776,"Biệt thự, nhà liền kề",,25.0,15.0,,,Số đỏ/ Sổ hồng,4.0,,,,,12000000000.0
3777,"Đất thổ cư, đất ở",,27.0,6.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,595000000.0
3778,"Nhà, ngõ, hẻm",,17.5,5.2,,,Số đỏ/ Sổ hồng,3.0,,,,,2980000000.0
3779,"Đất thổ cư, đất ở",,1130.0,408.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,1580000000.0
3780,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,2980000000.0
3781,"Nhà mặt phố, nhà mặt tiền",,22.0,5.0,,,Số đỏ/ Sổ hồng,6.0,,,,,19500000000.0
3782,"Nhà, ngõ, hẻm",,16.0,6.0,,,Số đỏ/ Sổ hồng,3.0,,,,,15200000000.0
3783,"Nhà, ngõ, hẻm",,20.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,10100000000.0
3784,"Đất thổ cư, đất ở",,16.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1700000000.0
3785,"Đất thổ cư, đất ở",,30.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,1700000000.0
3786,"Đất thổ cư, đất ở",,21.0,9.0,,,Số đỏ/ Sổ hồng,,,,,,840000000.0
3787,"Nhà mặt phố, nhà mặt tiền",,16.0,4.0,Nam,,Số đỏ/ Sổ hồng,4.0,,,,,6900000000.0
3788,"Đất nông, công, lâm nghiệp",,22.9,6.3,,,Số đỏ/ Sổ hồng,,,,,,330000000.0
3789,"Biệt thự, nhà liền kề",,22.0,9.0,Đông Bắc,,Số đỏ/ Sổ hồng,6.0,,,,,23500000000.0
3790,"Nhà mặt phố, nhà mặt tiền",,13.0,4.5,Tây,,Số đỏ/ Sổ hồng,4.0,,,,,4300000000.0
3791,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,890000000.0
3792,"Đất thổ cư, đất ở",,30.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1750000000.0
3793,"Đất thổ cư, đất ở",,45.0,12.0,,,Số đỏ/ Sổ hồng,,,,,,5700000000.0
3794,"Nhà mặt phố, nhà mặt tiền",,6.05,11.78,Nam,,Số đỏ/ Sổ hồng,3.0,,,,,27600000000.0
3795,"Đất thổ cư, đất ở",,70.0,15.0,,,Số đỏ/ Sổ hồng,,,,,,450000000.0
3796,"Nhà, ngõ, hẻm",,10.0,4.0,Tây,,Số đỏ/ Sổ hồng,3.0,,,,,8200000000.0
3797,"Nhà, ngõ, hẻm",,8.5,7.0,,,Số đỏ/ Sổ hồng,4.0,,,,,5600000000.0
3798,"Nhà, ngõ, hẻm",,12.0,6.0,Tây Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1570000000.0
3799,"Đất thổ cư, đất ở",,16.0,5.0,Bắc,,Số đỏ/ Sổ hồng,,,,,,3150000000.0
3800,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1560000000.0
3801,"Nhà, ngõ, hẻm",,13.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,7900000000.0
3802,"Đất thổ cư, đất ở",,50.0,5.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,1050000000.0
3803,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1450000000.0
3804,"Nhà, ngõ, hẻm",,15.0,4.0,Đông Bắc,,Số đỏ/ Sổ hồng,6.0,,,,,2850000000.0
3805,"Đất thổ cư, đất ở",,23.0,645.0,Tây Bắc,,Số đỏ/ Sổ hồng,,,,,,4450000000.0
3806,"Nhà, ngõ, hẻm",,13.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,4300000000.0
3807,"Nhà mặt phố, nhà mặt tiền",,27.0,4.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,8000000000.0
3808,"Đất nông, công, lâm nghiệp",,38.0,49.0,,,Số đỏ/ Sổ hồng,,,,,,2850000000.0
3809,"Nhà, ngõ, hẻm",,18.0,4.0,,,Số đỏ/ Sổ hồng,1.0,,,,,864000000.0
3810,"Nhà, ngõ, hẻm",,20.0,5.0,,,Số đỏ/ Sổ hồng,7.0,,,,,2800000000.0
3811,"Đất nông, công, lâm nghiệp",,120.0,58.0,,,Số đỏ/ Sổ hồng,,,,,,21500000000.0
3812,"Đất thổ cư, đất ở",,21.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,470000000.0
3813,"Nhà, ngõ, hẻm",,10.0,4.8,,,Số đỏ/ Sổ hồng,2.0,,,,,1690000000.0
3814,"Đất thổ cư, đất ở",,37.0,6.0,,,Số đỏ/ Sổ hồng,,,,,,900000000.0
3815,"Nhà, ngõ, hẻm",,125.0,4.0,,,,1.0,,,,,3650000000.0
3816,"Đất thổ cư, đất ở",,24.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,650000000.0
3817,"Nhà, ngõ, hẻm",,16.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,4500000000.0
3818,"Nhà mặt phố, nhà mặt tiền",,20.0,6.0,,,Số đỏ/ Sổ hồng,5.0,,,,,13500000000.0
3819,"Nhà mặt phố, nhà mặt tiền",,10.0,3.6,,,Số đỏ/ Sổ hồng,2.0,,,,,1260000000.0
3820,"Nhà mặt phố, nhà mặt tiền",,28.0,4.5,,,Số đỏ/ Sổ hồng,4.0,,,,,2100000000.0
3821,"Đất nông, công, lâm nghiệp",,4000.0,4000.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,2200000000.0
3822,"Đất thổ cư, đất ở",,18.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,6800000000.0
3823,"Biệt thự, nhà liền kề",,25.0,4.0,Đông,,Số đỏ/ Sổ hồng,4.0,,,,,2750000000.0
3824,"Nhà mặt phố, nhà mặt tiền",,18.0,3.0,,,Số đỏ/ Sổ hồng,6.0,,,,,20500000000.0
3825,"Biệt thự, nhà liền kề",,29.0,9.0,,,Số đỏ/ Sổ hồng,3.0,,,,,5700000000.0
3826,"Nhà, ngõ, hẻm",,10.0,4.6,,,Số đỏ/ Sổ hồng,3.0,,,,,5000000000.0
3827,"Nhà mặt phố, nhà mặt tiền",,14.2,6.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,8300000000.0
3828,"Đất thổ cư, đất ở",,55.0,5.0,,,,,,,,,456000000.0
3829,"Đất thổ cư, đất ở",,56.0,50.0,,,Số đỏ/ Sổ hồng,,,,,,71000000000.0
3830,"Nhà mặt phố, nhà mặt tiền",,13.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,5500000000.0
3831,"Đất thổ cư, đất ở",,12.0,25.0,Tây Nam,,Số đỏ/ Sổ hồng,,,,,,2100000000.0
3832,"Nhà, ngõ, hẻm",,14.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1530000000.0
3833,"Nhà mặt phố, nhà mặt tiền",,18.0,8.0,,,Số đỏ/ Sổ hồng,2.0,,,,,16000000000.0
3834,"Nhà mặt phố, nhà mặt tiền",,25.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1700000000.0
3835,"Đất thổ cư, đất ở",,12.0,6.0,,,,,,,,,1700000000.0
3836,"Đất thổ cư, đất ở",,11.38,4.03,,,Số đỏ/ Sổ hồng,,,,,,850000000.0
3837,"Nhà mặt phố, nhà mặt tiền",,16.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1250000000.0
3838,"Đất nền, đất liền kề, đất dự án",,20.0,5.5,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,2650000000.0
3839,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2400000000.0
3840,"Đất thổ cư, đất ở",,5.0,22.0,,,Số đỏ/ Sổ hồng,,,,,,485000000.0
3841,"Đất nông, công, lâm nghiệp",,22.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,820000000.0
3842,"Đất thổ cư, đất ở",,13.5,8.0,,,Số đỏ/ Sổ hồng,,,,,,2350000000.0
3843,"Nhà, ngõ, hẻm",,10.0,3.7,,,Số đỏ/ Sổ hồng,4.0,,,,,2930000000.0
3844,"Nhà, ngõ, hẻm",,11.0,5.0,Tây Bắc,,Số đỏ/ Sổ hồng,3.0,,,,,4500000000.0
3845,"Nhà, ngõ, hẻm",,10.5,4.0,,,Số đỏ/ Sổ hồng,1.0,,,,,1470000000.0
3846,"Đất thổ cư, đất ở",,16.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,1560000000.0
3847,"Nhà, ngõ, hẻm",,13.0,3.3,,,Số đỏ/ Sổ hồng,2.0,,,,,3990000000.0
3848,"Đất thổ cư, đất ở",,16.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,1600000000.0
3849,"Nhà, ngõ, hẻm",,50.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1800000000.0
3850,"Đất thổ cư, đất ở",,28.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,850000000.0
3851,"Nhà mặt phố, nhà mặt tiền",,15.25,4.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,7500000000.0
3852,"Nhà, ngõ, hẻm",,5.0,2.0,,,Số đỏ/ Sổ hồng,3.0,,,,,1700000000.0
3853,"Nhà mặt phố, nhà mặt tiền",,30.0,6.0,Đông Bắc,,Số đỏ/ Sổ hồng,6.0,,,,,32000000000.0
3854,"Nhà, ngõ, hẻm",,8.0,4.0,Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,2560000000.0
3855,"Đất thổ cư, đất ở",,35.0,5.0,Nam,,Số đỏ/ Sổ hồng,,,,,,660000000.0
3856,"Đất nông, công, lâm nghiệp",,37.0,35.0,,,Số đỏ/ Sổ hồng,,,,,,2600000000.0
3857,"Đất thổ cư, đất ở",,50.0,5.0,,,,,,,,,479000000.0
3858,"Biệt thự, nhà liền kề",,5.0,4.0,,,Số đỏ/ Sổ hồng,1.0,,,,,216000000.0
3859,"Đất nền, đất liền kề, đất dự án",,15.0,6.0,Tây Nam,,,,,,,,2750000000.0
3860,"Đất thổ cư, đất ở",,20.0,10.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,500000000.0
3861,"Nhà, ngõ, hẻm",,13.2,4.0,,,,2.0,,,,,5200000000.0
3862,"Nhà, ngõ, hẻm",,6.0,5.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2200000000.0
3863,"Nhà, ngõ, hẻm",,12.0,4.5,,,Số đỏ/ Sổ hồng,2.0,,,,,6000000000.0
3864,"Nhà, ngõ, hẻm",,11.0,3.0,,,Số đỏ/ Sổ hồng,2.0,,,,,2580000000.0
3865,"Đất nông, công, lâm nghiệp",,82.0,7.0,,,,,,,,,350000.0
3866,"Đất thổ cư, đất ở",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,689000000.0
