ID,FormRE,Province,FloorNum,Area,Height,Width,UsableArea,FrontLength,BackSideLength,Direction,BalconyDirection,Corner,RoadInFront,Juridical,NumOfBed,NumOfFloor,NumOfToilet,ConstructionYear,IsOwner,Furniture,Terrace,CarParking,DinningRoom,Kitchen,AirCond,ADSL,WashingMachine,Balcony,Fridge,Wifi,Pool,Basement,Park,SuperMarket,Clinics,Sea,Hospital,Church,BusStation,School,Temple,Airport,Preschool,Characteristics,Price
260,"Nhà mặt phố, nhà mặt tiền",Đắk Lắk,nan,nan,23.0,6.0,427.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8900000000.0
261,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,10.0,3.5,35.0,nan,nan,nan,nan,nan,nan,nan,4.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3250000000.0
262,"Nhà, ngõ, hẻm",Đồng Nai,nan,nan,19.0,5.0,180.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2950000000.0
263,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,6.0,6.0,36.0,nan,nan,Tây,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3000000000.0
264,"Nhà, ngõ, hẻm",Sóc Trăng,nan,nan,20.0,4.5,92.0,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1280000000.0
265,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,9.0,3.0,75.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,2.0,3.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2900000000.0
266,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,12.0,5.0,180.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,7400000000.0
267,"Nhà mặt phố, nhà mặt tiền",Đồng Nai,nan,nan,35.0,11.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,11500000000.0
268,"Đất thổ cư, đất ở",Bình Phước,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,465000000.0
269,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,24.0,32.0,300.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,6.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6500000000.0
270,"Đất nông, công, lâm nghiệp",Tp Hồ Chí Minh,nan,nan,50.0,40.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,11500000000.0
271,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,10.6,3.64,76.8,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,4150000000.0
272,"Nhà mặt phố, nhà mặt tiền",Long An,nan,nan,33.3,18.0,600.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12000000000.0
273,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,10.0,4.0,80.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,720000000.0
274,"Đất thổ cư, đất ở",Hà Nội,nan,nan,12.5,5.0,nan,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2490000000.0
275,"Đất nền, đất liền kề, đất dự án",Hà Nội,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4500003210.0
276,"Nhà mặt phố, nhà mặt tiền",Hà Nội,nan,nan,20.0,3.5,70.0,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,3.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4200000000.0
277,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.0,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2550000000.0
278,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,15.5,4.0,120.0,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4600000000.0
279,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,6.0,4.5,72.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2300000000.0
280,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,18.4,5.0,92.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,1.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,4600000000.0
281,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.0,4.0,65.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2680000000.0
282,"Nhà mặt phố, nhà mặt tiền",Đắk Lắk,nan,nan,26.0,6.0,156.0,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1100000000.0
283,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,60.0,29.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,16000000000.0
284,"Đất thổ cư, đất ở",Long An,nan,nan,47.0,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1580000000.0
285,"Nhà, ngõ, hẻm",Khánh Hòa,nan,nan,28.0,6.0,181.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,1.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1050000000.0
286,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,8.0,34.0,25.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,nan,4.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,230000000.0
287,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,10.0,3.5,36.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3650000000.0
288,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,14.0,3.5,200.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,5.0,nan,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,8300000000.0
289,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,11.0,5.0,53.0,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,1.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2800000000.0
290,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,5.0,22.0,120.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,5.0,4.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24000000000.0
291,"Nhà mặt phố, nhà mặt tiền",Bình Dương,nan,nan,12.0,5.0,120.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,820000000.0
292,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,22.0,12.0,220.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,2.0,5.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21900000000.0
293,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,21.0,4.0,100.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,4950000000.0
294,"Nhà mặt phố, nhà mặt tiền",Cần Thơ,nan,nan,16.0,4.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5800000000.0
295,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,11.0,4.0,4.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1865000000.0
296,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,13.0,4.0,86.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1850000000.0
297,"Đất thổ cư, đất ở",Long An,nan,nan,22.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,900000000.0
298,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,14.0,4.0,224.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,4.0,4.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,14500000000.0
299,"Đất thổ cư, đất ở",Phú Thọ,nan,nan,13.5,11.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,850000000.0
300,"Đất thổ cư, đất ở",Hà Nội,nan,nan,19.15,12.8,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,10902500000.0
301,"Nhà, ngõ, hẻm",Cần Thơ,nan,nan,9.0,3.0,50.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1190000000.0
302,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,18.0,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2100000000.0
303,"Đất nông, công, lâm nghiệp",Đắk Lắk,nan,nan,100.0,200.0,nan,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1000000000.0
304,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,20.0,4.0,280.0,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,4.0,5.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15500000000.0
305,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,16.5,5.5,nan,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3500000000.0
306,"Đất thổ cư, đất ở",Bình Dương,nan,nan,15.0,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1820000000.0
307,"Nhà mặt phố, nhà mặt tiền",Bình Dương,nan,nan,30.0,5.0,150.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6700000000.0
308,"Nhà, ngõ, hẻm",Bình Dương,nan,nan,16.0,5.0,60.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2250000000.0
309,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.0,4.0,48.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1560000000.0
310,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,22.0,5.0,220.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3610000000.0
311,"Đất thổ cư, đất ở",Bình Dương,nan,nan,30.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1500000000.0
312,"Đất nền, đất liền kề, đất dự án",Nghệ An,nan,nan,16.0,7.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,702000000.0
313,"Đất nền, đất liền kề, đất dự án",Hà Tĩnh,nan,nan,20.0,7.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1470000000.0
314,"Đất nền, đất liền kề, đất dự án",Nghệ An,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2176300000.0
315,"Đất nền, đất liền kề, đất dự án",Hải Phòng,nan,nan,20.0,5.0,nan,nan,nan,Nam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2500000000.0
316,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,16.0,4.0,64.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5500000000.0
317,"Đất nền, đất liền kề, đất dự án",Hà Tĩnh,nan,nan,20.0,12.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,900000000.0
318,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,25.0,5.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,2200000000.0
319,"Nhà, ngõ, hẻm",Cần Thơ,nan,nan,10.0,5.0,64.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2450000000.0
320,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,8.0,5.0,40.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,5600000000.0
321,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,17.0,4.0,70.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5500000000.0
322,"Nhà mặt phố, nhà mặt tiền",Nghệ An,nan,nan,19.0,5.0,248.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,3.0,3.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2000000000.0
323,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,7.0,3.0,28.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,5.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3000000000.0
324,"Đất thổ cư, đất ở",Bà Rịa - Vũng Tàu,nan,nan,24.0,5.0,nan,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1550000000.0
325,"Nhà, ngõ, hẻm",Đồng Nai,nan,nan,25.0,5.0,126.0,nan,nan,Đông Nam,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2450000000.0
326,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,20.0,6.0,500.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,4.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,16500000000.0
327,"Nhà mặt phố, nhà mặt tiền",Đồng Tháp,nan,nan,24.0,9.0,300.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,17000000000.0
328,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,7.0,4.0,28.0,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1150000000.0
329,"Nhà mặt phố, nhà mặt tiền",Cần Thơ,nan,nan,16.5,4.0,198.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,3.0,4.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5500000000.0
330,"Biệt thự, nhà liền kề",Hà Nội,nan,nan,20.0,15.0,300.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,2.0,3.0,nan,nan,Bàn giao thô,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,6000000000.0
331,"Đất thổ cư, đất ở",Long An,nan,nan,15.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,595000000.0
332,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,4.0,4.0,32.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,580000000.0
333,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,4.0,25.0,20.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1030000000.0
